category,model,test_months,mae,mape,bias,bias_interpretation
bed_bath_table,Moving Average 3,6,53.3333,0.0784,-17.2222,over-forecast
bed_bath_table,Weighted Moving Average 0.5/0.3/0.2,6,47.3833,0.0701,-15.9833,over-forecast
bed_bath_table,Exponential Smoothing alpha 0.3,6,60.7758,0.0873,6.8738,under-forecast
health_beauty,Moving Average 3,6,70.7778,0.0913,70.6667,under-forecast
health_beauty,Weighted Moving Average 0.5/0.3/0.2,6,67.1833,0.0859,57.25,under-forecast
health_beauty,Exponential Smoothing alpha 0.3,6,130.4537,0.1706,130.4537,under-forecast
sports_leisure,Moving Average 3,6,104.6111,0.2043,-51.5,over-forecast
sports_leisure,Weighted Moving Average 0.5/0.3/0.2,6,92.2,0.1778,-45.0,over-forecast
sports_leisure,Exponential Smoothing alpha 0.3,6,92.1552,0.177,-31.8605,over-forecast
furniture_decor,Moving Average 3,6,94.1111,0.1987,-15.0,over-forecast
furniture_decor,Weighted Moving Average 0.5/0.3/0.2,6,81.6167,0.1727,-11.1167,over-forecast
furniture_decor,Exponential Smoothing alpha 0.3,6,89.7873,0.1842,0.5393,under-forecast
housewares,Moving Average 3,6,77.2222,0.142,77.2222,under-forecast
housewares,Weighted Moving Average 0.5/0.3/0.2,6,65.65,0.1195,64.8833,under-forecast
housewares,Exponential Smoothing alpha 0.3,6,116.7375,0.2122,116.7375,under-forecast
telephony,Moving Average 3,6,48.8333,0.1969,-32.6111,over-forecast
telephony,Weighted Moving Average 0.5/0.3/0.2,6,42.7833,0.171,-27.55,over-forecast
telephony,Exponential Smoothing alpha 0.3,6,41.7097,0.1696,-24.8854,over-forecast
cool_stuff,Moving Average 3,6,42.2222,0.3331,-38.3333,over-forecast
cool_stuff,Weighted Moving Average 0.5/0.3/0.2,6,38.2833,0.2882,-30.0833,over-forecast
cool_stuff,Exponential Smoothing alpha 0.3,6,54.207,0.4244,-48.2227,over-forecast
perfumery,Moving Average 3,6,17.4444,0.0907,-4.1111,over-forecast
perfumery,Weighted Moving Average 0.5/0.3/0.2,6,17.0,0.0881,-2.4,over-forecast
perfumery,Exponential Smoothing alpha 0.3,6,14.0806,0.0737,-4.7343,over-forecast
baby,Moving Average 3,6,24.0,0.1067,10.7778,under-forecast
baby,Weighted Moving Average 0.5/0.3/0.2,6,21.35,0.095,9.05,under-forecast
baby,Exponential Smoothing alpha 0.3,6,26.161,0.1143,25.2528,under-forecast
toys,Moving Average 3,6,29.0,0.1587,-10.2222,over-forecast
toys,Weighted Moving Average 0.5/0.3/0.2,6,23.6333,0.1301,-4.5333,over-forecast
toys,Exponential Smoothing alpha 0.3,6,31.5045,0.1775,-31.5045,over-forecast
