category,demand_class,forecast_risk,best_by_mae,best_mae,best_mape,best_bias,bias_concern_flag,operational_risk,implied_min_safety_buffer,implied_max_safety_buffer,final_recommendation
baby,Low,Low,Weighted Moving Average 0.5/0.3/0.2,21.35,0.095,9.05,False,High,38,75,High-touch weekly review. Carry about 38-75 units as a minimum planning buffer. Forecast bias is not material in the TEST period.
bed_bath_table,High,Low,Weighted Moving Average 0.5/0.3/0.2,47.3833,0.0701,-15.9833,False,High,125,250,High-touch weekly review. Carry about 125-250 units as a minimum planning buffer. Forecast bias is not material in the TEST period.
cool_stuff,Low,Medium,Weighted Moving Average 0.5/0.3/0.2,38.2833,0.2882,-30.0833,True,High,89,133,High-touch weekly review. Carry about 89-133 units as a minimum planning buffer. Best model is over-forecasting; watch excess stock and review reorder quantities.
furniture_decor,High,Medium,Weighted Moving Average 0.5/0.3/0.2,81.6167,0.1727,-11.1167,False,High,197,296,High-touch weekly review. Carry about 197-296 units as a minimum planning buffer. Forecast bias is not material in the TEST period.
health_beauty,High,Low,Weighted Moving Average 0.5/0.3/0.2,67.1833,0.0859,57.25,False,High,109,218,High-touch weekly review. Carry about 109-218 units as a minimum planning buffer. Forecast bias is not material in the TEST period.
housewares,Medium,Low,Weighted Moving Average 0.5/0.3/0.2,65.65,0.1195,64.8833,True,High,75,149,High-touch weekly review. Carry about 75-149 units as a minimum planning buffer. Best model is under-forecasting; lift the planning forecast or add buffer before stockouts appear.
perfumery,Low,Low,Exponential Smoothing alpha 0.3,14.0806,0.0737,-4.7343,False,High,39,77,High-touch weekly review. Carry about 39-77 units as a minimum planning buffer. Forecast bias is not material in the TEST period.
sports_leisure,High,Medium,Exponential Smoothing alpha 0.3,92.1552,0.177,-31.8605,False,High,191,286,High-touch weekly review. Carry about 191-286 units as a minimum planning buffer. Forecast bias is not material in the TEST period.
telephony,Medium,Medium,Exponential Smoothing alpha 0.3,41.7097,0.1696,-24.8854,False,High,101,151,High-touch weekly review. Carry about 101-151 units as a minimum planning buffer. Forecast bias is not material in the TEST period.
toys,Medium,Low,Weighted Moving Average 0.5/0.3/0.2,23.6333,0.1301,-4.5333,False,High,46,92,High-touch weekly review. Carry about 46-92 units as a minimum planning buffer. Forecast bias is not material in the TEST period.
