category,item_count,order_count,avg_processing_days,avg_delivery_days,avg_total_lead_time,lead_time_stddev,otd_rate,freight_ratio,same_state_rate
baby,2971,2800,3.27,9.16,12.43,9.99,0.9118,0.1422,0.3511
bed_bath_table,10945,9267,3.16,9.59,12.75,9.12,0.9159,0.1647,0.436
cool_stuff,3711,3552,2.87,9.43,12.3,9.53,0.9324,0.1177,0.3056
furniture_decor,8094,6257,3.69,9.1,12.8,9.72,0.9151,0.1914,0.3626
health_beauty,9422,8610,3.02,8.83,11.85,9.24,0.9095,0.1266,0.3702
housewares,6783,5734,3.08,7.77,10.85,8.73,0.935,0.1883,0.4017
perfumery,3311,3060,2.84,8.81,11.65,9.3,0.926,0.12,0.3658
sports_leisure,8413,7512,2.74,9.33,12.07,9.06,0.9257,0.146,0.3427
telephony,4422,4086,3.51,9.28,12.8,9.09,0.9166,0.1827,0.3426
toys,4005,3781,2.72,8.87,11.59,9.13,0.9253,0.1388,0.3633
